Pregunta,Respuesta,Nombre del Documento,Título/Encabezado del Documento,Sección/Capítulo,Cláusula o Artículo,Palabras Clave
¿Qué requisitos deben cumplirse para acceder a la pensión por invalidez?,Contar con al menos 250 semanas de cotización y estar imposibilitado para trabajar.,LSS_Q&A.docx,Artículo 36,General,36,Artículo 36
¿Qué derechos tienen los beneficiarios del asegurado fallecido?,"Derecho a recibir pensión por viudez, orfandad, o ascendencia, dependiendo de la relación de parentesco y los requisitos establecidos.",LSS_Q&A.docx,Artículo 37,General,37,Artículo 37
¿Qué ocurre si un asegurado fallece sin haber cumplido los requisitos para la pensión?,Sus beneficiarios pueden recibir una ayuda económica equivalente al monto de las aportaciones realizadas.,LSS_Q&A.docx,Artículo 38,General,38,Artículo 38
"¿Qué define el seguro de retiro, cesantía en edad avanzada y vejez?",Es el conjunto de prestaciones económicas y en especie otorgadas al asegurado al cumplir con los requisitos de edad y semanas cotizadas.,LSS_Q&A.docx,Artículo 39,General,39,Artículo 39
¿Cuáles son las opciones de pensión en el seguro de retiro?,"Pensión garantizada, pensión financiada con saldo acumulado en la cuenta individual, o ambos esquemas según el caso.",LSS_Q&A.docx,Artículo 40,General,40,Artículo 40
¿Qué requisitos establece la Ley para la pensión por cesantía en edad avanzada?,Tener 60 años cumplidos y un mínimo de 750 semanas cotizadas.,LSS_Q&A.docx,Artículo 41,General,41,Artículo 41
¿Qué requisitos establece la Ley para acceder a la pensión por vejez?,Contar con 65 años cumplidos y al menos 750 semanas de cotización.,LSS_Q&A.docx,Artículo 42,General,42,Artículo 42
¿Qué define el seguro de guarderías y prestaciones sociales?,"Incluye servicios de cuidado y desarrollo infantil para hijos de asegurados, así como actividades para el bienestar físico y mental.",LSS_Q&A.docx,Artículo 43,General,43,Artículo 43
¿Qué servicios incluyen las guarderías proporcionadas por el Instituto?,"Alimentación, cuidado médico preventivo, educación inicial, y actividades recreativas.",LSS_Q&A.docx,Artículo 44,General,44,Artículo 44
¿Quiénes tienen derecho a los servicios de guardería?,"Hijos de asegurados en edad de lactancia y preescolar, conforme a las disposiciones de la Ley.",LSS_Q&A.docx,Artículo 45,General,45,Artículo 45
¿Qué condiciones deben cumplir las guarderías del Instituto?,"Contar con instalaciones seguras, personal capacitado, y programas educativos adecuados.",LSS_Q&A.docx,Artículo 46,General,46,Artículo 46
¿Qué son las prestaciones sociales para el bienestar?,"Servicios y actividades orientadas a la promoción de la salud, cultura, deporte, y recreación.",LSS_Q&A.docx,Artículo 47,General,47,Artículo 47
¿Qué actividades promueve el Instituto en materia de prestaciones sociales?,"Actividades culturales, deportivas, recreativas, y de capacitación para el trabajo.",LSS_Q&A.docx,Artículo 48,General,48,Artículo 48
¿Qué define la Ley sobre la capacitación para el trabajo?,Es el conjunto de actividades y cursos que buscan incrementar las habilidades laborales de los asegurados.,LSS_Q&A.docx,Artículo 49,General,49,Artículo 49
¿Qué funciones tiene el Instituto respecto a la capacitación laboral?,Organizar y supervisar programas de capacitación orientados al desarrollo económico y social.,LSS_Q&A.docx,Artículo 50,General,50,Artículo 50
¿Qué establece la Ley sobre la creación de centros de bienestar social?,"El Instituto puede crear y operar centros destinados a la promoción de actividades culturales, deportivas, y recreativas.",LSS_Q&A.docx,Artículo 51,General,51,Artículo 51
¿Qué criterios deben cumplir los programas de bienestar social del Instituto?,"Deben ser inclusivos, promover el desarrollo integral de los asegurados, y adaptarse a las necesidades locales.",LSS_Q&A.docx,Artículo 52,General,52,Artículo 52
¿Qué servicios de promoción de la salud incluye el Seguro Social?,"Campañas de vacunación, educación para la salud, y programas de prevención de enfermedades.",LSS_Q&A.docx,Artículo 53,General,53,Artículo 53
¿Qué derechos tienen los asegurados en materia de atención médica?,"Acceso oportuno a servicios médicos, quirúrgicos, y farmacéuticos de calidad.",LSS_Q&A.docx,Artículo 54,General,54,Artículo 54
¿Qué obligaciones tiene el Instituto respecto a la atención médica?,"Proveer servicios de calidad, garantizar la disponibilidad de medicamentos, y respetar los derechos de los pacientes.",LSS_Q&A.docx,Artículo 55,General,55,Artículo 55
¿Qué establece la Ley sobre la atención médica en casos de emergencia?,"El Instituto debe proporcionar atención inmediata, sin necesidad de verificar la calidad de asegurado en el momento.",LSS_Q&A.docx,Artículo 56,General,56,Artículo 56
¿Qué define la Ley sobre la prestación de servicios quirúrgicos?,Deben realizarse con el equipo necesario y por personal médico especializado.,LSS_Q&A.docx,Artículo 57,General,57,Artículo 57
¿Qué servicios farmacéuticos incluye el Seguro Social?,"Suministro de medicamentos prescritos, conforme al cuadro básico autorizado.",LSS_Q&A.docx,Artículo 58,General,58,Artículo 58
¿Qué define la Ley sobre la atención médica especializada?,"Comprende diagnósticos avanzados, tratamiento de enfermedades complejas, y servicios hospitalarios especializados.",LSS_Q&A.docx,Artículo 59,General,59,Artículo 59
¿Qué obligaciones tienen los asegurados respecto al uso de los servicios médicos?,"Acudir a sus citas programadas, seguir las indicaciones médicas, y notificar cualquier cambio en su estado de salud.",LSS_Q&A.docx,Artículo 60,General,60,Artículo 60
¿Qué define la Ley sobre el derecho a la hospitalización?,"Los asegurados y sus beneficiarios tienen derecho a hospitalización cuando la condición médica lo requiera, según los criterios del Instituto.",LSS_Q&A.docx,Artículo 61,General,61,Artículo 61
¿Qué obligaciones tiene el Instituto respecto a los servicios de hospitalización?,"Proveer instalaciones adecuadas, personal capacitado, y garantizar la continuidad de la atención médica.",LSS_Q&A.docx,Artículo 62,General,62,Artículo 62
¿Qué establece la Ley sobre la rehabilitación médica?,"Es el conjunto de servicios destinados a la recuperación de las capacidades físicas, mentales o sensoriales del asegurado.",LSS_Q&A.docx,Artículo 63,General,63,Artículo 63
¿Quiénes tienen derecho a los servicios de rehabilitación?,"Asegurados y beneficiarios que hayan sufrido accidentes, enfermedades o condiciones que requieran recuperación funcional.",LSS_Q&A.docx,Artículo 64,General,64,Artículo 64
¿Qué servicios incluye la rehabilitación proporcionada por el Instituto?,"Terapias físicas, ocupacionales, psicológicas, y programas personalizados de recuperación.",LSS_Q&A.docx,Artículo 65,General,65,Artículo 65
¿Qué define la Ley sobre los servicios de atención prenatal?,"Incluyen consultas médicas, estudios de laboratorio, ultrasonidos, y orientación nutricional para las aseguradas embarazadas.",LSS_Q&A.docx,Artículo 66,General,66,Artículo 66
¿Qué establece la Ley sobre los cuidados neonatales?,"Provisión de atención médica especializada para recién nacidos, incluyendo cuidados intensivos si es necesario.",LSS_Q&A.docx,Artículo 67,General,67,Artículo 67
¿Qué obligaciones tiene el Instituto respecto a la salud mental?,"Implementar programas de prevención, diagnóstico y tratamiento de trastornos mentales y emocionales.",LSS_Q&A.docx,Artículo 68,General,68,Artículo 68
¿Qué servicios incluye el apoyo psicológico en el Seguro Social?,"Terapia individual, grupal y familiar, así como orientación para prevenir problemas psicológicos.",LSS_Q&A.docx,Artículo 69,General,69,Artículo 69
¿Qué define la Ley sobre la prevención de enfermedades crónicas?,"Implementar programas para el diagnóstico temprano, tratamiento y educación sobre enfermedades como diabetes e hipertensión.",LSS_Q&A.docx,Artículo 70,General,70,Artículo 70
¿Qué programas debe implementar el Instituto para prevenir enfermedades transmisibles?,"Campañas de vacunación, control de vectores, y educación sanitaria en comunidades vulnerables.",LSS_Q&A.docx,Artículo 71,General,71,Artículo 71
¿Qué establece la Ley sobre los servicios de odontología?,"Provisión de atención odontológica básica, como limpieza dental, extracciones y tratamiento de caries.",LSS_Q&A.docx,Artículo 72,General,72,Artículo 72
¿Qué derechos tienen los asegurados respecto a los servicios de farmacia?,"Recibir los medicamentos prescritos de manera oportuna y suficiente, conforme al cuadro básico.",LSS_Q&A.docx,Artículo 73,General,73,Artículo 73
¿Qué obligaciones tienen los asegurados en el uso de medicamentos?,Seguir las indicaciones médicas y no utilizar medicamentos fuera de lo recetado.,LSS_Q&A.docx,Artículo 74,General,74,Artículo 74
¿Qué define la Ley sobre las campañas de promoción de la salud?,Son actividades organizadas por el Instituto para educar a la población en temas de prevención y cuidado de la salud.,LSS_Q&A.docx,Artículo 75,General,75,Artículo 75
¿Qué disposiciones existen sobre el uso de tecnología médica?,El Instituto debe garantizar el acceso a tecnología de punta para el diagnóstico y tratamiento de enfermedades.,LSS_Q&A.docx,Artículo 76,General,76,Artículo 76
¿Qué define la Ley sobre la capacitación del personal médico?,"El Instituto debe formar y actualizar a su personal médico, técnico y administrativo para garantizar servicios de calidad.",LSS_Q&A.docx,Artículo 77,General,77,Artículo 77
¿Qué establece la Ley sobre las investigaciones en salud?,El Instituto puede realizar estudios e investigaciones para mejorar la calidad de los servicios médicos.,LSS_Q&A.docx,Artículo 78,General,78,Artículo 78
¿Qué obligaciones tiene el Instituto respecto al control epidemiológico?,"Monitorear, prevenir y controlar brotes de enfermedades en coordinación con las autoridades de salud.",LSS_Q&A.docx,Artículo 79,General,79,Artículo 79
¿Qué define la Ley sobre la evaluación de calidad en los servicios de salud?,El Instituto debe realizar auditorías y evaluaciones periódicas para garantizar el cumplimiento de estándares de calidad.,LSS_Q&A.docx,Artículo 80,General,80,Artículo 80
¿Qué establece la Ley sobre el acceso a servicios especializados?,Los asegurados tienen derecho a servicios especializados previa referencia médica.,LSS_Q&A.docx,Artículo 81,General,81,Artículo 81
¿Qué define la Ley sobre la atención integral del paciente?,"Es la coordinación de servicios médicos, psicológicos y sociales para garantizar una recuperación integral.",LSS_Q&A.docx,Artículo 82,General,82,Artículo 82
¿Qué obligaciones tienen los patrones respecto a los riesgos de trabajo?,"Notificar al Instituto sobre accidentes y enfermedades laborales, y cumplir con las medidas de seguridad e higiene.",LSS_Q&A.docx,Artículo 83,General,83,Artículo 83
¿Qué define la Ley sobre los accidentes de trayecto?,Se consideran riesgos de trabajo los accidentes sufridos por el trabajador en el traslado entre su domicilio y su lugar de trabajo.,LSS_Q&A.docx,Artículo 84,General,84,Artículo 84
¿Qué establece la Ley sobre la prevención de riesgos de trabajo?,"Los patrones deben implementar medidas de seguridad, capacitación y equipos adecuados para evitar accidentes.",LSS_Q&A.docx,Artículo 85,General,85,Artículo 85
¿Qué obligaciones tienen los patrones en caso de enfermedades laborales?,Realizar los pagos correspondientes al Seguro Social y garantizar que el trabajador reciba atención médica adecuada.,LSS_Q&A.docx,Artículo 86,General,86,Artículo 86
¿Qué define la Ley sobre las prestaciones en especie para riesgos de trabajo?,"Incluyen asistencia médica, quirúrgica, farmacéutica, hospitalaria y rehabilitación para los trabajadores afectados.",LSS_Q&A.docx,Artículo 87,General,87,Artículo 87
¿Qué derechos tienen los trabajadores en caso de incapacidad permanente?,"Derecho a recibir una pensión, indemnización, y, en su caso, servicios de rehabilitación.",LSS_Q&A.docx,Artículo 88,General,88,Artículo 88
¿Qué obligaciones tiene el Instituto respecto a la evaluación de incapacidad?,Contar con especialistas capacitados para determinar el grado de incapacidad del trabajador.,LSS_Q&A.docx,Artículo 89,General,89,Artículo 89
¿Qué define la Ley sobre la pensión por incapacidad total?,Se otorga al trabajador que queda imposibilitado para desempeñar cualquier trabajo remunerado.,LSS_Q&A.docx,Artículo 90,General,90,Artículo 90
¿Qué define la Ley sobre las prestaciones económicas por riesgos de trabajo?,"Incluyen el pago de subsidios, indemnizaciones, y pensiones en caso de incapacidad o muerte derivadas de riesgos laborales.",LSS_Q&A.docx,Artículo 91,General,91,Artículo 91
¿Qué establece la Ley sobre los subsidios por incapacidad temporal?,"Se otorgan al trabajador durante el periodo en que esté imposibilitado para trabajar, con un monto proporcional a su salario base.",LSS_Q&A.docx,Artículo 92,General,92,Artículo 92
¿Qué derechos tienen los beneficiarios de un trabajador fallecido por riesgo de trabajo?,Tienen derecho a una pensión por muerte y a ayudas para gastos funerarios.,LSS_Q&A.docx,Artículo 93,General,93,Artículo 93
¿Qué define la Ley sobre la reubicación laboral de un trabajador incapacitado?,Es la obligación del patrón de asignar al trabajador incapacitado una labor acorde a sus nuevas capacidades.,LSS_Q&A.docx,Artículo 94,General,94,Artículo 94
¿Qué establece la Ley sobre la revaloración de pensiones por riesgos de trabajo?,Las pensiones pueden ser revisadas periódicamente para ajustarse al grado real de incapacidad del trabajador.,LSS_Q&A.docx,Artículo 95,General,95,Artículo 95
¿Qué define la Ley sobre las enfermedades profesionales?,Son aquellas enfermedades contraídas como resultado directo de la actividad laboral o exposición a agentes específicos.,LSS_Q&A.docx,Artículo 96,General,96,Artículo 96
¿Qué establece la Ley respecto a los exámenes médicos para detectar enfermedades profesionales?,Los patrones deben realizar exámenes médicos periódicos para prevenir y detectar enfermedades relacionadas con el trabajo.,LSS_Q&A.docx,Artículo 97,General,97,Artículo 97
¿Qué obligaciones tienen los patrones respecto a la seguridad e higiene en el trabajo?,"Implementar medidas de seguridad, dotar de equipo adecuado, y capacitar a los trabajadores para prevenir riesgos laborales.",LSS_Q&A.docx,Artículo 98,General,98,Artículo 98
¿Qué define la Ley sobre el subsidio por enfermedades generales?,Es un apoyo económico otorgado al trabajador durante el periodo de incapacidad temporal por enfermedades no relacionadas con el trabajo.,LSS_Q&A.docx,Artículo 99,General,99,Artículo 99
¿Qué requisitos establece la Ley para otorgar el subsidio por enfermedad general?,El trabajador debe haber cotizado al menos cuatro semanas previas a la enfermedad y recibir un certificado médico del Instituto.,LSS_Q&A.docx,Artículo 100,General,100,Artículo 100
¿Qué define la Ley sobre las prestaciones médicas para enfermedades generales?,"Incluyen consulta médica, medicamentos, hospitalización y servicios quirúrgicos para el asegurado y sus beneficiarios.",LSS_Q&A.docx,Artículo 101,General,101,Artículo 101
¿Qué establece la Ley sobre las prestaciones económicas por maternidad?,Incluyen un subsidio económico equivalente al 100% del salario base de cotización durante el periodo de incapacidad.,LSS_Q&A.docx,Artículo 102,General,102,Artículo 102
¿Qué define la Ley sobre los servicios médicos de maternidad?,"Proveen atención prenatal, parto, y cuidados postnatales para la asegurada y su hijo.",LSS_Q&A.docx,Artículo 103,General,103,Artículo 103
¿Qué derechos tienen los beneficiarios en caso de fallecimiento del asegurado?,"Derecho a pensión por viudez, orfandad o ascendencia, según las condiciones establecidas en la Ley.",LSS_Q&A.docx,Artículo 104,General,104,Artículo 104
¿Qué define la Ley sobre las ayudas para gastos de funeral?,Es un apoyo económico otorgado a los beneficiarios del asegurado fallecido para cubrir los costos del sepelio.,LSS_Q&A.docx,Artículo 105,General,105,Artículo 105
¿Qué requisitos establece la Ley para otorgar pensiones por invalidez?,El asegurado debe haber cotizado al menos 250 semanas y recibir el dictamen médico correspondiente.,LSS_Q&A.docx,Artículo 106,General,106,Artículo 106
¿Qué define la Ley sobre la conservación de derechos en el seguro de invalidez y vida?,Los derechos del asegurado se conservan hasta por un periodo de conservación determinado si cesa su relación laboral.,LSS_Q&A.docx,Artículo 107,General,107,Artículo 107
¿Qué establece la Ley sobre la opción de retiro anticipado?,Los asegurados pueden optar por un retiro anticipado si cumplen con las condiciones de edad y semanas cotizadas.,LSS_Q&A.docx,Artículo 108,General,108,Artículo 108
¿Qué define la Ley sobre las cuentas individuales de los asegurados?,"Son cuentas administradas por las Afores, que concentran las aportaciones de retiro, cesantía y vejez del asegurado.",LSS_Q&A.docx,Artículo 109,General,109,Artículo 109
¿Qué derechos tienen los asegurados respecto a las Afores?,"Elegir la Afore que administre su cuenta, recibir estados de cuenta y cambiar de administradora si lo desean.",LSS_Q&A.docx,Artículo 110,General,110,Artículo 110
¿Qué establece la Ley sobre el monto de la pensión garantizada?,Es el monto mínimo que debe recibir un asegurado que cumpla con los requisitos de edad y semanas cotizadas.,LSS_Q&A.docx,Artículo 111,General,111,Artículo 111
¿Qué define la Ley sobre las aportaciones al seguro de cesantía y vejez?,"Son contribuciones realizadas por el patrón, el trabajador y el gobierno para financiar las pensiones.",LSS_Q&A.docx,Artículo 112,General,112,Artículo 112
¿Qué derechos tienen los beneficiarios respecto a la pensión por muerte?,Derecho a recibir una pensión equivalente al porcentaje establecido por la Ley.,LSS_Q&A.docx,Artículo 113,General,113,Artículo 113
¿Qué establece la Ley sobre la entrega de recursos en caso de fallecimiento del asegurado?,Los beneficiarios tienen derecho a retirar el saldo acumulado en la cuenta individual del asegurado fallecido.,LSS_Q&A.docx,Artículo 114,General,114,Artículo 114
¿Qué define la Ley sobre los servicios de guarderías?,"Incluyen cuidado infantil, alimentación y actividades pedagógicas para hijos de asegurados en edad preescolar.",LSS_Q&A.docx,Artículo 115,General,115,Artículo 115
¿Qué obligaciones tienen los patrones respecto a las guarderías?,Cubrir las aportaciones correspondientes al seguro de guarderías y prestaciones sociales.,LSS_Q&A.docx,Artículo 116,General,116,Artículo 116
¿Qué define la Ley sobre las prestaciones sociales?,"Son servicios orientados al bienestar de los asegurados y sus beneficiarios, como actividades culturales, deportivas y de capacitación.",LSS_Q&A.docx,Artículo 117,General,117,Artículo 117
¿Qué establece la Ley sobre los centros de bienestar social?,"El Instituto puede establecer y operar centros que promuevan actividades recreativas, educativas y culturales.",LSS_Q&A.docx,Artículo 118,General,118,Artículo 118
¿Qué derechos tienen los asegurados respecto a las prestaciones sociales?,"Derecho a participar en actividades recreativas, deportivas y culturales organizadas por el Instituto.",LSS_Q&A.docx,Artículo 119,General,119,Artículo 119
¿Qué define la Ley sobre la capacitación para el trabajo?,Son programas organizados por el Instituto para mejorar las habilidades laborales de los asegurados y sus beneficiarios.,LSS_Q&A.docx,Artículo 120,General,120,Artículo 120
¿Qué establece la Ley sobre la promoción de actividades culturales para asegurados?,El Instituto debe organizar eventos culturales para fomentar el desarrollo integral de los asegurados y sus beneficiarios.,LSS_Q&A.docx,Artículo 121,General,121,Artículo 121
¿Qué define la Ley sobre las actividades deportivas para los asegurados?,El Instituto debe promover actividades físicas y deportivas para mejorar la salud y el bienestar de los asegurados.,LSS_Q&A.docx,Artículo 122,General,122,Artículo 122
¿Qué obligaciones tiene el Instituto respecto a las actividades recreativas?,"Proveer espacios, equipo y personal capacitado para garantizar la realización de actividades recreativas seguras y accesibles.",LSS_Q&A.docx,Artículo 123,General,123,Artículo 123
¿Qué establece la Ley sobre la atención integral para personas con discapacidad?,"El Instituto debe garantizar servicios médicos, rehabilitación y programas de inclusión laboral para personas con discapacidad.",LSS_Q&A.docx,Artículo 124,General,124,Artículo 124
¿Qué define la Ley sobre los derechos de los adultos mayores asegurados?,"Derecho a participar en actividades recreativas, educativas y culturales que promuevan su bienestar integral.",LSS_Q&A.docx,Artículo 125,General,125,Artículo 125
¿Qué establece la Ley sobre la contribución del Instituto al desarrollo comunitario?,"Promover acciones que beneficien a las comunidades en áreas de salud, educación y cultura, en coordinación con las autoridades locales.",LSS_Q&A.docx,Artículo 126,General,126,Artículo 126
¿Qué define la Ley sobre los convenios de colaboración del Instituto?,El Instituto puede celebrar convenios con instituciones públicas o privadas para ampliar los servicios ofrecidos a los asegurados.,LSS_Q&A.docx,Artículo 127,General,127,Artículo 127
¿Qué establece la Ley sobre la coordinación con autoridades locales?,El Instituto debe colaborar con autoridades locales para garantizar la prestación eficiente de servicios de seguridad social.,LSS_Q&A.docx,Artículo 128,General,128,Artículo 128
¿Qué define la Ley sobre las funciones de las delegaciones regionales del Instituto?,"Supervisar la operación de servicios, garantizar la atención oportuna y gestionar los recursos en su jurisdicción.",LSS_Q&A.docx,Artículo 129,General,129,Artículo 129
¿Qué establece la Ley sobre la fiscalización de los recursos del Instituto?,El Instituto debe ser fiscalizado por las autoridades correspondientes para garantizar el uso adecuado de sus recursos.,LSS_Q&A.docx,Artículo 130,General,130,Artículo 130
¿Qué define la Ley sobre el financiamiento tripartito del Seguro Social?,"Las aportaciones al Seguro Social provienen de los trabajadores, patrones y el gobierno.",LSS_Q&A.docx,Artículo 131,General,131,Artículo 131
¿Qué establece la Ley sobre la recaudación de cuotas obrero-patronales?,El Instituto es responsable de recaudar las cuotas y garantizar su correcta aplicación.,LSS_Q&A.docx,Artículo 132,General,132,Artículo 132
¿Qué define la Ley sobre la administración de recursos financieros del Instituto?,"Los recursos deben ser administrados de forma eficiente, transparente y conforme a los principios de seguridad social.",LSS_Q&A.docx,Artículo 133,General,133,Artículo 133
¿Qué obligaciones tienen los patrones respecto al pago de cuotas?,"Declarar los salarios reales, pagar las cuotas en los plazos establecidos y actualizar cualquier información relevante.",LSS_Q&A.docx,Artículo 134,General,134,Artículo 134
¿Qué define la Ley sobre las consecuencias de omitir el pago de cuotas?,"La omisión genera recargos, actualizaciones y posibles sanciones administrativas.",LSS_Q&A.docx,Artículo 135,General,135,Artículo 135
¿Qué establece la Ley sobre la prescripción de las obligaciones fiscales con el Instituto?,"Las obligaciones fiscales prescriben en cinco años, salvo que exista dolo o fraude.",LSS_Q&A.docx,Artículo 136,General,136,Artículo 136
