Pregunta,Respuesta,Nombre del Documento,Título/Encabezado del Documento,Sección/Capítulo,Cláusula o Artículo,Palabras Clave
¿Qué tratamiento tienen las utilidades obtenidas por la venta de casa habitación?,"Están exentas hasta un límite, siempre que se cumpla con los requisitos establecidos en el artículo.",LISR_Q&A.docx,Artículo 65:,General,65,Artículo 65
¿Qué deducciones personales pueden realizar las personas físicas?,"Incluyen gastos médicos, dentales, hospitalarios, colegiaturas, funerarios, intereses reales de créditos hipotecarios, entre otros.",LISR_Q&A.docx,Artículo 66:,General,66,Artículo 66
¿Qué reglas aplican para la deducción de intereses reales de créditos hipotecarios?,"Son deducibles hasta el límite establecido, siempre que estén destinados a la adquisición de una casa habitación.",LISR_Q&A.docx,Artículo 67:,General,67,Artículo 67
¿Qué disposiciones aplican a los ingresos obtenidos por arrendamiento de bienes inmuebles?,Estos ingresos están gravados y pueden deducirse ciertos gastos relacionados con la actividad de arrendamiento.,LISR_Q&A.docx,Artículo 68:,General,68,Artículo 68
¿Qué requisitos deben cumplir los comprobantes fiscales para efectos de deducción?,Deben cumplir con los lineamientos del Código Fiscal de la Federación y estar debidamente registrados en contabilidad.,LISR_Q&A.docx,Artículo 69:,General,69,Artículo 69
¿Qué tratamiento tienen las remesas recibidas del extranjero?,Son ingresos acumulables para las personas físicas si no están exentos o no se consideran donativos entre familiares.,LISR_Q&A.docx,Artículo 70:,General,70,Artículo 70
¿Cómo se consideran los ingresos obtenidos por enajenación de bienes muebles?,"Son ingresos acumulables, salvo que estén exentos por la ley o sujetos a disposiciones específicas.",LISR_Q&A.docx,Artículo 71:,General,71,Artículo 71
¿Qué ingresos derivados de intereses están exentos para las personas físicas?,Están exentos los intereses que no excedan ciertos límites anuales establecidos en la ley.,LISR_Q&A.docx,Artículo 72:,General,72,Artículo 72
¿Qué disposiciones aplican a los ingresos obtenidos por honorarios?,Los honorarios son ingresos acumulables y permiten deducciones estrictamente relacionadas con la actividad profesional.,LISR_Q&A.docx,Artículo 73:,General,73,Artículo 73
¿Qué ingresos están gravados para los residentes en el extranjero?,"Los ingresos derivados de fuentes de riqueza situadas en territorio nacional, conforme a lo establecido en la ley.",LISR_Q&A.docx,Artículo 74:,General,74,Artículo 74
¿Qué reglas aplican para la retención de impuestos a residentes en el extranjero?,Las retenciones deben efectuarse conforme a las tasas específicas establecidas para cada tipo de ingreso.,LISR_Q&A.docx,Artículo 75:,General,75,Artículo 75
¿Cómo se determinan los ingresos atribuibles a un establecimiento permanente en México?,Son los ingresos generados directamente por la actividad empresarial del establecimiento o por la prestación de servicios personales.,LISR_Q&A.docx,Artículo 76:,General,76,Artículo 76
¿Qué disposiciones aplican para los ingresos por dividendos y utilidades distribuidos a residentes en el extranjero?,Están sujetos a retenciones específicas conforme a las tasas señaladas en la ley.,LISR_Q&A.docx,Artículo 77:,General,77,Artículo 77
"¿Qué tratamiento tienen los ingresos derivados de actividades agrícolas, ganaderas, pesqueras o silvícolas?",Estos ingresos tienen un tratamiento fiscal especial con exenciones parciales y deducciones específicas.,LISR_Q&A.docx,Artículo 78:,General,78,Artículo 78
¿Qué requisitos deben cumplir las deducciones por aportaciones a fondos de ahorro y retiro?,Deben estar relacionadas con planes autorizados y cumplir con las disposiciones aplicables para ser deducibles.,LISR_Q&A.docx,Artículo 79:,General,79,Artículo 79
¿Qué disposiciones aplican para la acumulación de ingresos en fideicomisos?,Los ingresos deben acumularse conforme a la participación de cada fideicomisario y en los términos establecidos en el contrato de fideicomiso.,LISR_Q&A.docx,Artículo 80:,General,80,Artículo 80
¿Qué tratamiento fiscal tienen los ingresos por actividades empresariales de personas físicas?,"Son acumulables y deben incluirse en la declaración anual, permitiendo deducciones relacionadas con la actividad empresarial.",LISR_Q&A.docx,Artículo 81:,General,81,Artículo 81
¿Qué deducciones pueden realizar las personas físicas con actividades empresariales?,"Gastos estrictamente indispensables, inversiones, compras de mercancías, salarios, y otros conceptos permitidos por la ley.",LISR_Q&A.docx,Artículo 82:,General,82,Artículo 82
¿Cómo se calculan los pagos provisionales de las personas físicas con actividades empresariales?,"Se basan en la utilidad fiscal estimada para el periodo, aplicando la tasa correspondiente.",LISR_Q&A.docx,Artículo 83:,General,83,Artículo 83
¿Qué ingresos obtenidos por artistas y deportistas están sujetos al ISR?,"Todos los ingresos derivados de sus actividades profesionales realizadas en México, incluidos los obtenidos por residentes en el extranjero.",LISR_Q&A.docx,Artículo 84:,General,84,Artículo 84
¿Qué reglas aplican para los ingresos obtenidos por franquiciatarios?,"Son ingresos acumulables, y los pagos de regalías o derechos deben cumplir con las disposiciones fiscales.",LISR_Q&A.docx,Artículo 85:,General,85,Artículo 85
¿Qué disposiciones aplican a las sociedades cooperativas para efectos del ISR?,"Están sujetas a las mismas reglas que las personas morales, pero con disposiciones específicas para sus actividades y distribución de ingresos.",LISR_Q&A.docx,Artículo 86:,General,86,Artículo 86
¿Qué tratamiento tienen los ingresos obtenidos por fideicomisos no empresariales?,Los ingresos se acumulan directamente por los fideicomisarios según su participación en el fideicomiso.,LISR_Q&A.docx,Artículo 87:,General,87,Artículo 87
¿Qué reglas aplican para los ingresos por prestación de servicios independientes de personas físicas?,"Son acumulables, y se permite deducir los gastos relacionados con la actividad, siempre que estén debidamente comprobados.",LISR_Q&A.docx,Artículo 88:,General,88,Artículo 88
¿Cómo deben manejarse las deducciones relacionadas con pagos por honorarios médicos y dentales?,Solo son deducibles si están amparados por comprobantes fiscales y no han sido reembolsados por terceros.,LISR_Q&A.docx,Artículo 89:,General,89,Artículo 89
¿Qué requisitos deben cumplir las personas físicas para deducir colegiaturas?,Las colegiaturas deben estar dentro de los límites establecidos y contar con comprobantes fiscales emitidos por instituciones autorizadas.,LISR_Q&A.docx,Artículo 90:,General,90,Artículo 90
¿Qué ingresos por enajenación de acciones están sujetos al ISR?,"Todos los ingresos derivados de la venta de acciones, con posibilidad de aplicar deducciones conforme a lo establecido en la ley.",LISR_Q&A.docx,Artículo 91:,General,91,Artículo 91
¿Qué tratamiento fiscal tienen los ingresos obtenidos por enajenación de bienes inmuebles?,"Son gravados y deben considerarse en la declaración anual, aplicando exenciones y deducciones permitidas por la ley.",LISR_Q&A.docx,Artículo 92:,General,92,Artículo 92
¿Qué disposiciones aplican a los ingresos derivados de derechos de autor?,"Están gravados, salvo que se trate de ingresos exentos según los límites y reglas establecidas.",LISR_Q&A.docx,Artículo 93:,General,93,Artículo 93
¿Cómo deben manejarse los ingresos por rentas vitalicias?,Son acumulables en la proporción no exenta establecida por la ley y deben incluirse en la declaración anual.,LISR_Q&A.docx,Artículo 94:,General,94,Artículo 94
¿Qué reglas aplican para la acumulación de ingresos obtenidos por socios o accionistas?,"Deben acumularse según su participación en las utilidades, y están sujetos a retención en ciertos casos.",LISR_Q&A.docx,Artículo 95:,General,95,Artículo 95
¿Qué obligaciones tienen los empleadores respecto al ISR de sus trabajadores?,Deben calcular y retener el impuesto correspondiente sobre los salarios y prestaciones gravables.,LISR_Q&A.docx,Artículo 96:,General,96,Artículo 96
¿Qué ingresos por indemnizaciones laborales están exentos?,"Las indemnizaciones por despido o jubilación están exentas hasta ciertos límites, según lo establecido en la ley.",LISR_Q&A.docx,Artículo 97:,General,97,Artículo 97
¿Qué disposiciones aplican para la retención de ISR en pagos a residentes en el extranjero?,Los retenedores deben aplicar las tasas específicas según el tipo de ingreso y efectuar el entero correspondiente.,LISR_Q&A.docx,Artículo 98:,General,98,Artículo 98
¿Qué obligaciones tienen las personas físicas en relación con la presentación de declaraciones informativas?,"Deben presentar declaraciones sobre ingresos, deducciones, pagos provisionales y retenciones realizadas durante el ejercicio.",LISR_Q&A.docx,Artículo 99:,General,99,Artículo 99
"¿Qué tratamiento tienen los ingresos por premios de rifas, sorteos y concursos?","Son acumulables, y el organizador debe efectuar la retención del impuesto correspondiente.",LISR_Q&A.docx,Artículo 100:,General,100,Artículo 100
¿Cómo deben calcular su ingreso gravable los residentes en el extranjero con establecimiento permanente en México?,Deben acumular los ingresos atribuibles al establecimiento permanente y cumplir con las disposiciones del Título correspondiente de la LISR.,LISR_Q&A.docx,Artículo 101:,General,101,Artículo 101
¿Qué ingresos de residentes en el extranjero sin establecimiento permanente en México están sujetos al ISR?,"Ingresos por bienes situados en México, servicios prestados en el país, o regalías provenientes de fuentes mexicanas.",LISR_Q&A.docx,Artículo 102:,General,102,Artículo 102
¿Cómo se calcula el ISR de los ingresos obtenidos por enajenación de bienes inmuebles por residentes en el extranjero?,"Se aplica una retención del impuesto al momento de la operación, calculada sobre el precio de venta o la ganancia obtenida.",LISR_Q&A.docx,Artículo 103:,General,103,Artículo 103
¿Qué tasas de retención aplican a los intereses pagados a residentes en el extranjero?,Varían dependiendo del tipo de interés y las disposiciones de los tratados internacionales aplicables.,LISR_Q&A.docx,Artículo 104:,General,104,Artículo 104
¿Qué tratamiento tienen las regalías pagadas a residentes en el extranjero?,Están sujetas a retención de ISR conforme a las tasas especificadas en la ley.,LISR_Q&A.docx,Artículo 105:,General,105,Artículo 105
¿Cómo se gravan los ingresos por transporte internacional de residentes en el extranjero?,"Están sujetos a una tasa fija del ISR, basada en el monto total del ingreso.",LISR_Q&A.docx,Artículo 106:,General,106,Artículo 106
¿Qué reglas aplican para los ingresos por espectáculos públicos de residentes en el extranjero?,"Están sujetos a retención sobre el ingreso total percibido, a menos que se acredite un gasto proporcional.",LISR_Q&A.docx,Artículo 107:,General,107,Artículo 107
¿Cómo se gravan los ingresos por actividades de construcción realizadas por residentes en el extranjero?,Se consideran ingresos acumulables y están sujetos a retención si no se cumple con la opción de establecimiento permanente.,LISR_Q&A.docx,Artículo 108:,General,108,Artículo 108
¿Qué obligaciones tienen los intermediarios financieros en relación con el ISR?,Deben retener y enterar el impuesto correspondiente a las operaciones realizadas por sus clientes.,LISR_Q&A.docx,Artículo 109:,General,109,Artículo 109
¿Qué reglas aplican para los fideicomisos de inversión en bienes raíces?,"Los ingresos se atribuyen a los fideicomisarios conforme a su participación, y se acumulan según las disposiciones del artículo.",LISR_Q&A.docx,Artículo 110:,General,110,Artículo 110
¿Cómo se determina la base gravable para los ingresos de personas físicas en el régimen de incorporación fiscal?,Se calcula con base en los ingresos percibidos menos las deducciones autorizadas.,LISR_Q&A.docx,Artículo 111:,General,111,Artículo 111
¿Qué beneficios fiscales tienen las personas en el régimen de incorporación fiscal?,Pueden acceder a reducciones graduales del ISR durante los primeros años de operación.,LISR_Q&A.docx,Artículo 112:,General,112,Artículo 112
¿Qué ingresos están excluidos del régimen de incorporación fiscal?,Aquellos provenientes de actividades empresariales que no sean consideradas pequeñas o de sectores excluidos por la ley.,LISR_Q&A.docx,Artículo 113:,General,113,Artículo 113
¿Cómo deben determinar su ISR los fideicomisos empresariales?,La fiduciaria calculará el impuesto con base en el resultado fiscal atribuible a los fideicomisarios.,LISR_Q&A.docx,Artículo 114:,General,114,Artículo 114
¿Qué obligaciones fiscales tienen los fideicomitentes de fideicomisos no empresariales?,Deben reportar sus ingresos según lo estipulado en el contrato y acumularlos en su declaración anual.,LISR_Q&A.docx,Artículo 115:,General,115,Artículo 115
¿Qué reglas aplican para la retención de ISR en pagos a fideicomisos?,La fiduciaria debe efectuar la retención correspondiente y enterarla al SAT.,LISR_Q&A.docx,Artículo 116:,General,116,Artículo 116
¿Qué ingresos están exentos para las instituciones educativas?,"Los provenientes de cuotas escolares y otros conceptos relacionados con sus actividades principales, siempre que sean sin fines de lucro.",LISR_Q&A.docx,Artículo 117:,General,117,Artículo 117
¿Cómo se determinan los ingresos gravables de las asociaciones religiosas?,Solo se consideran gravables los ingresos que no estén relacionados directamente con sus actividades religiosas.,LISR_Q&A.docx,Artículo 118:,General,118,Artículo 118
¿Qué deducciones pueden realizar las asociaciones religiosas?,"Las relacionadas con su actividad principal, como mantenimiento de instalaciones y gastos operativos.",LISR_Q&A.docx,Artículo 119:,General,119,Artículo 119
¿Cómo se gravan las remesas enviadas desde el extranjero a asociaciones religiosas?,Están exentas si se utilizan exclusivamente para fines religiosos y cumplen con las disposiciones fiscales.,LISR_Q&A.docx,Artículo 120:,General,120,Artículo 120
¿Qué reglas aplican a las instituciones de asistencia privada para efectos fiscales?,Sus ingresos están exentos si provienen de donativos y actividades relacionadas con sus fines asistenciales.,LISR_Q&A.docx,Artículo 121:,General,121,Artículo 121
¿Qué requisitos deben cumplir las instituciones educativas para gozar de exenciones fiscales?,Deben operar como entidades sin fines de lucro y reinvertir sus excedentes en sus actividades principales.,LISR_Q&A.docx,Artículo 122:,General,122,Artículo 122
¿Qué obligaciones tienen los residentes en México por ingresos obtenidos en el extranjero?,Deben acumular dichos ingresos y pueden acreditar el ISR pagado en el extranjero conforme a las reglas establecidas.,LISR_Q&A.docx,Artículo 123:,General,123,Artículo 123
¿Qué reglas aplican para los ingresos de exportadores de productos agrícolas?,Tienen beneficios fiscales especiales y pueden optar por regímenes específicos según su nivel de ingresos.,LISR_Q&A.docx,Artículo 124:,General,124,Artículo 124
